sample: 383, episode: 9, total reward: 5.323
sample: 384, episode: 9, total reward: 2.944
sample: 385, episode: 9, total reward: 10.634
sample: 386, episode: 9, total reward: 7.025
sample: 387, episode: 9, total reward: 9.614
sample: 388, episode: 9, total reward: 6.95
sample: 389, episode: 9, total reward: 6.454
sample: 390, episode: 9, total reward: 14.227
sample: 391, episode: 9, total reward: 6.333
sample: 392, episode: 9, total reward: 10.589
sample: 393, episode: 9, total reward: 7.116
sample: 394, episode: 9, total reward: 8.598
sample: 395, episode: 9, total reward: 9.335
sample: 396, episode: 9, total reward: 6.454
sample: 397, episode: 9, total reward: 5.307
sample: 398, episode: 9, total reward: 11.301
sample: 399, episode: 9, total reward: 9.296
sample: 400, episode: 9, total reward: 9.247
sample: 401, episode: 9, total reward: 4.347
sample: 402, episode: 9, total reward: 13.132
sample: 403, episode: 9, total reward: 7.068
sample: 404, episode: 9, total reward: 6.82
sample: 405, episode: 9, total reward: 10.664
sample: 406, episode: 9, total reward: 14.137
sample: 407, episode: 9, total reward: 10.957
sample: 408, episode: 9, total reward: 8.144
sample: 409, episode: 9, total reward: 7.933
sample: 410, episode: 9, total reward: 7.024
sample: 411, episode: 9, total reward: 4.462
sample: 412, episode: 9, total reward: 9.608
sample: 413, episode: 9, total reward: 5.663
sample: 414, episode: 9, total reward: 13.127
sample: 415, episode: 9, total reward: 11.015
sample: 416, episode: 9, total reward: 7.943
sample: 417, episode: 9, total reward: 11.912
sample: 418, episode: 9, total reward: 10.28
sample: 419, episode: 9, total reward: 4.97
sample: 420, episode: 9, total reward: 10.22
sample: 421, episode: 9, total reward: 9.379
sample: 422, episode: 9, total reward: 8.626
sample: 423, episode: 9, total reward: 7.199
sample: 424, episode: 9, total reward: 7.686
sample: 425, episode: 9, total reward: 10.628
sample: 426, episode: 9, total reward: 5.074
sample: 427, episode: 9, total reward: 4.401
sample: 428, episode: 9, total reward: 6.429
sample: 429, episode: 9, total reward: 9.362
sample: 430, episode: 9, total reward: 11.388
sample: 431, episode: 9, total reward: 5.775
sample: 432, episode: 9, total reward: 8.564
sample: 433, episode: 9, total reward: 9.046
sample: 434, episode: 9, total reward: 4.989
sample: 435, episode: 9, total reward: 5.772
sample: 436, episode: 9, total reward: 8.577
sample: 437, episode: 9, total reward: 3.794
sample: 438, episode: 9, total reward: 8.61
sample: 439, episode: 9, total reward: 8.417
sample: 440, episode: 9, total reward: 6.369
sample: 441, episode: 9, total reward: 8.203
sample: 442, episode: 9, total reward: 9.885
sample: 443, episode: 9, total reward: 3.951
sample: 444, episode: 9, total reward: 10.129
sample: 445, episode: 9, total reward: 5.077
sample: 446, episode: 9, total reward: 6.168
sample: 447, episode: 9, total reward: 8.0
sample: 448, episode: 9, total reward: 11.447
sample: 449, episode: 9, total reward: 10.457
sample: 450, episode: 9, total reward: 8.556
sample: 451, episode: 9, total reward: 6.694
sample: 452, episode: 9, total reward: 8.047
sample: 453, episode: 9, total reward: 7.016
sample: 454, episode: 9, total reward: 5.304
sample: 455, episode: 9, total reward: 6.15
sample: 456, episode: 9, total reward: 7.655
sample: 457, episode: 9, total reward: 5.813
sample: 458, episode: 9, total reward: 8.3
sample: 459, episode: 9, total reward: 6.24
sample: 460, episode: 9, total reward: 5.347
sample: 461, episode: 9, total reward: 9.87
sample: 462, episode: 9, total reward: 7.503
sample: 463, episode: 9, total reward: 5.868
sample: 464, episode: 9, total reward: 6.898
sample: 465, episode: 9, total reward: 4.782
sample: 466, episode: 9, total reward: 9.499
sample: 467, episode: 9, total reward: 7.998
sample: 468, episode: 9, total reward: 7.405
sample: 469, episode: 9, total reward: 7.392
sample: 470, episode: 9, total reward: 8.357
sample: 471, episode: 9, total reward: 7.988
sample: 472, episode: 9, total reward: 7.572
sample: 473, episode: 9, total reward: 8.579
sample: 474, episode: 9, total reward: 4.113
sample: 475, episode: 9, total reward: 3.397
sample: 476, episode: 9, total reward: 7.652
sample: 477, episode: 9, total reward: 10.668
sample: 478, episode: 9, total reward: 8.966
sample: 479, episode: 9, total reward: 8.981
sample: 480, episode: 9, total reward: 7.67
sample: 481, episode: 9, total reward: 6.843
sample: 482, episode: 9, total reward: 3.547
